AIC,ZIP,AUTHORITY
LHCL,01097,LANDESHAUPTSTADT DRESDEN
L84N,04207,STADT LEIPZIG
LCRR,04862,GEMEINDEVERWALTUNG MOCKREHNA
LCNT,08451,STADTVERWALTUNG CRIMMITSCHAU
L3FY,10243,BA MITTE BÜA 1
L3GK,10967,BA NEUKÖLLN BÜA 2
L3H5,13057,BA LICHTENBERG BÜA 1
L3G0,13347,BA MITTE BÜA 2
L39C,13187,BA PANKOW BÜA Pankow
L3G2,14163,BA STEGLITZ-ZEHLENDORF <br> BÜA 1
L3KP,16356,STADT WERNEUCHEN <br> DER BÜRGERMEISTER
L0FK,18528,AMT BERGEN AUF RÜGEN DER AMTSVORSTEHER
L0HM,19063,LANDESHAUPTSTADT SCHWERIN DIE OBERBÜRGERMEISTERIN
L296,21643,Samtgemeinde Apensen Der SG Bürgermeister
L1VN,22457,KUNDENZENTRUM LOKSTEDT
L1TC,22767,HAMBURG - KUNDENZ. ALTONA
L1NX,22926,STADT AHRENSBURG DER BÜRGERMEISTER
L1PW,23558,MELDESTELLE LÜBECK STB ST. LORENZ
L1HW,23730,STADT NEUSTADT IN HOLSTEIN <br> DIE BÜRGERMEISTERIN
L1LT,24890,AMT SÜDANGELN DER AMTSVORSTEHER
L1NL,25582,AMT ITZEHOE-LAND DIE AMTSVORSTEHERIN
L2F4,26188,GEMEINDE EDEWECHT DIE BÜRGERMEISTERIN
L2CZ,26384,STADT WILHELMSHAVEN
L2F6,26655,STADT WESTERSTEDE
L2KZ,26939,GEMEINDE OVELGÖNNE <br> DER BÜRGERMEISTER
L2RF,28199,FREIE HANSESTADT BREMEN STADTAMT BÜRGERSERVICECENTER-MITTE
L2RF,28205,FREIE HANSTESTADT BREMEN <br> STADTAMT <br> BÜRGERSERVICE-MITTE
L22T,30823,STADT GARBSEN
L233,31275,STADT LEHRTE
L5V1,35410,STADT HUNGEN
L5WT,35794,GEMEINDE MENGERSKIRCHEN
L5ZP,36100,GEMEINDE PETERSBERG
L1YC,37079,STADT GÖTTINGEN
L1Y1,37127,STADTGEMEINDE DRANSFELD
L61M,37194,GEMEINDE WAHLSBURG
L1XV,38524,GEMEINDE SASSENBURG
L6P6,39606,HANSESTADT OSTERBURG <br> (ALTMARK)
L809,40629,STADT DÜSSELDORF
L6YX,41238,STADT MÖNCHENGLADBACH
L71R,41515,STADT GREVENBROICH
L71N,41539,STADT DORMAGEN
L72K,41751,STADT VIERSEN
L72K,41749,STADT VIERSEN
L704,42277,STADT WUPPERTAL
L712,42579,STADT HEILIGENHAUS
L6Y2,45147,STADT ESSEN
L6Y7,45279,STADT ESSEN
L6Y2,45307,STADT ESSEN
L6Z8,46047,STADT OBERHAUSEN <br> BÜRGERSERVICE OBERHAUSEN
L7X4,46240,STADT BOTTROP
L734,47495,STADT RHEINBERG
L6YL,47809,KREFELD
L7JF,48346,GEMEINDE OSTBEVERN DER BÜRGERMEISTER
L2CW,49084,STADT OSNABRÜCK
L2K5,49179,GEMEINDE OSTERCAPPELN
L7HH,49536,GEMEINDE LIENEN
L2HH,49824,SAMTGEMEINDE EMLICHHEIM 
L76R,50127,STADT BERGHEIM 
L749,50969,STADT KÖLN
L751,50969,STADT KÖLN
L757,51105,STADT KÖLN
L78V,51465,STADT BERGISCH GLADBACH DER BÜRGERMEISTER
L77X,52525,STADT HEINSBERG
L77P,53909,STADT ZÜLPICH
L2Y6,54634,STADT BITBURG
L2T8,56075,STADTVERWALTUNG KOBLENZ
L7RN,58454,STADT WITTEN
L7WR,59174,STADT KAMEN
L7W7,59494,STADT SOEST
L7W9,59581,STADT WARSTEIN
L5HM,60385,STADT FRANKFURT AM MAIN
L5HM,60486,STADT FRANKFURT AM MAIN
L5HM,60322,Stadt Frankfurt am Main Die Oberbürgermeisterin 
L5HM,65933,Stadt Frankfurt am Main Die Oberbürgermeisterin 
L5TK,61191,STADT ROSBACH V.D.HÖHE
L5M1,61389,GEMEINDE SCHMITTEN
L5MR,63450,STADT HANAU
L5LC,64546,STADT MÖRFELDEN-WALLDORF
L5LK,65428,STADT RÜSSELSHEIM
L338,67071,STADTVERWALTUNG LUDWIGSHAFEN AM RHEIN
L322,67240,BOBENHEIM-ROXHEIM
L8WT,68307,STADT MANNHEIM
L8WK,69124,STADT HEIDELBERG
L86M,70176,LANDESHAUPTSTADT STUTTGART
L8GV,70825,STADT KORNTAL-MÜNCHINGEN
L8F9,71563,GEMEINDE AFFALTERBACH
L9K5,72116,STADT MÖSSINGEN
L893,72622,STADT NÜRTINGEN
L8CL,73035,STADT GÖPPINGEN BÜRGERBÜRO
L88F,73728,STADT ESSLINGEN AM NECKAR
L8LJ,74613,STADT ÖHRINGEN
L8RY,76137,STADT KARLSRUHE
L971,77654,STADT OFFENBURG
L95Y,77767,BÜRGERMEISTERAMT APPENWEIER
L9CZ,78465,STADT KONSTANZ
L933,79106,FREIBURG IM BREISGAU
L959,79341,BÜRGERMEISTERAMT KENZINGEN
LF08,81679,Landeshauptstadt München
LF08,80803,Landeshauptstadt München
LF9H,82049,GEMEINDE <br> PULLACH I. ISARTAL
LFFG,83620,GEMEINDE FELDKIRCHEN-WESTERHAM
LFCX,85283,MARKT WOLNZACH MARKTPLATZ  1 85283 WOLNZACH
LF5R,85375,GDE NEUFAHRN B. FREISING
LF8Y,85748,STADT GARCHING B. MÜNCHEN
LF30,85757,GEMEINDE KARLSFELD
LGN6,86156,STADT AUGSBURG
LGR3,89420,VG HÖCHSTÄDT A. D. DONAU
LG6M,90478,STADT NÜRNBERG
LG68,90765,STADT FÜRTH
LG9F,91207,STADT LAUF A.D.PEGNITZ
LFYG,93089,VG SÜNCHING
LFY9,93128,MARKT REGENSTAUF
LG5T,95173,STADT SCHÖNWALD